utc_timestamp,DE_load_actual_entsoe_transparency
2014-12-31T23:00:00Z,
2015-01-01T00:00:00Z,41151
2015-01-01T01:00:00Z,40135
2015-01-01T02:00:00Z,39106
2015-01-01T03:00:00Z,38765
2015-01-01T04:00:00Z,38941
2015-01-01T05:00:00Z,39045
2015-01-01T06:00:00Z,40206
2015-01-01T07:00:00Z,41133
2015-01-01T08:00:00Z,42963
2015-01-01T09:00:00Z,45088
2015-01-01T10:00:00Z,47013
2015-01-01T11:00:00Z,48159
2015-01-01T12:00:00Z,47164
2015-01-01T13:00:00Z,46752
2015-01-01T14:00:00Z,47403
2015-01-01T15:00:00Z,49440
2015-01-01T16:00:00Z,53410
2015-01-01T17:00:00Z,53672
2015-01-01T18:00:00Z,53012
2015-01-01T19:00:00Z,50313
2015-01-01T20:00:00Z,48730
2015-01-01T21:00:00Z,48624
2015-01-01T22:00:00Z,45668
2015-01-01T23:00:00Z,42424
2015-01-02T00:00:00Z,40577
2015-01-02T01:00:00Z,39707
2015-01-02T02:00:00Z,39504
2015-01-02T03:00:00Z,40391
2015-01-02T04:00:00Z,42382
2015-01-02T05:00:00Z,45679
2015-01-02T06:00:00Z,50418
2015-01-02T07:00:00Z,54131
2015-01-02T08:00:00Z,56505
2015-01-02T09:00:00Z,58447
2015-01-02T10:00:00Z,59453
2015-01-02T11:00:00Z,59201
2015-01-02T12:00:00Z,58564
2015-01-02T13:00:00Z,57721
2015-01-02T14:00:00Z,57276
2015-01-02T15:00:00Z,58813
2015-01-02T16:00:00Z,61605
2015-01-02T17:00:00Z,61645
2015-01-02T18:00:00Z,59283
2015-01-02T19:00:00Z,55622
2015-01-02T20:00:00Z,53186
2015-01-02T21:00:00Z,50691
2015-01-02T22:00:00Z,45323
2015-01-02T23:00:00Z,40464
2015-01-03T00:00:00Z,38338
2015-01-03T01:00:00Z,36897
2015-01-03T02:00:00Z,36104
2015-01-03T03:00:00Z,36453
2015-01-03T04:00:00Z,36839
2015-01-03T05:00:00Z,38073
2015-01-03T06:00:00Z,40819
2015-01-03T07:00:00Z,44119
2015-01-03T08:00:00Z,47421
2015-01-03T09:00:00Z,49756
2015-01-03T10:00:00Z,51917
2015-01-03T11:00:00Z,52205
2015-01-03T12:00:00Z,52147
2015-01-03T13:00:00Z,50677
2015-01-03T14:00:00Z,50478
2015-01-03T15:00:00Z,52820
2015-01-03T16:00:00Z,55854
2015-01-03T17:00:00Z,56259
2015-01-03T18:00:00Z,55017
2015-01-03T19:00:00Z,50801
2015-01-03T20:00:00Z,48359
2015-01-03T21:00:00Z,47968
2015-01-03T22:00:00Z,45427
2015-01-03T23:00:00Z,42806
2015-01-04T00:00:00Z,38517
2015-01-04T01:00:00Z,37082
2015-01-04T02:00:00Z,36575
2015-01-04T03:00:00Z,36793
2015-01-04T04:00:00Z,36336
2015-01-04T05:00:00Z,35592
2015-01-04T06:00:00Z,38255
2015-01-04T07:00:00Z,41037
2015-01-04T08:00:00Z,43899
2015-01-04T09:00:00Z,46915
2015-01-04T10:00:00Z,50252
2015-01-04T11:00:00Z,50784
2015-01-04T12:00:00Z,48824
2015-01-04T13:00:00Z,47517
2015-01-04T14:00:00Z,47398
2015-01-04T15:00:00Z,49465
2015-01-04T16:00:00Z,53400
2015-01-04T17:00:00Z,54108
2015-01-04T18:00:00Z,52621
2015-01-04T19:00:00Z,50243
2015-01-04T20:00:00Z,48877
2015-01-04T21:00:00Z,48808
2015-01-04T22:00:00Z,46024
2015-01-04T23:00:00Z,42658
2015-01-05T00:00:00Z,40699
2015-01-05T01:00:00Z,39447
2015-01-05T02:00:00Z,39513
2015-01-05T03:00:00Z,40440
2015-01-05T04:00:00Z,43931
2015-01-05T05:00:00Z,50074
2015-01-05T06:00:00Z,56244
2015-01-05T07:00:00Z,59860
2015-01-05T08:00:00Z,61179
2015-01-05T09:00:00Z,62104
2015-01-05T10:00:00Z,63018
2015-01-05T11:00:00Z,62952
2015-01-05T12:00:00Z,62108
2015-01-05T13:00:00Z,61182
2015-01-05T14:00:00Z,60450
2015-01-05T15:00:00Z,61342
2015-01-05T16:00:00Z,65130
2015-01-05T17:00:00Z,64886
2015-01-05T18:00:00Z,63242
2015-01-05T19:00:00Z,59162
2015-01-05T20:00:00Z,56346
2015-01-05T21:00:00Z,54730
2015-01-05T22:00:00Z,50564
2015-01-05T23:00:00Z,47317
2015-01-06T00:00:00Z,45011
2015-01-06T01:00:00Z,44015
2015-01-06T02:00:00Z,44049
2015-01-06T03:00:00Z,44730
2015-01-06T04:00:00Z,46416
2015-01-06T05:00:00Z,50597
2015-01-06T06:00:00Z,55697
2015-01-06T07:00:00Z,57954
2015-01-06T08:00:00Z,59295
2015-01-06T09:00:00Z,60723
2015-01-06T10:00:00Z,61744
2015-01-06T11:00:00Z,61628
2015-01-06T12:00:00Z,60697
2015-01-06T13:00:00Z,59259
2015-01-06T14:00:00Z,58836
2015-01-06T15:00:00Z,60089
2015-01-06T16:00:00Z,63969
2015-01-06T17:00:00Z,64219
2015-01-06T18:00:00Z,63346
2015-01-06T19:00:00Z,59695
2015-01-06T20:00:00Z,57114
2015-01-06T21:00:00Z,54886
2015-01-06T22:00:00Z,50639
2015-01-06T23:00:00Z,47308
2015-01-07T00:00:00Z,45125
2015-01-07T01:00:00Z,44217
2015-01-07T02:00:00Z,44368
2015-01-07T03:00:00Z,45298
2015-01-07T04:00:00Z,48598
2015-01-07T05:00:00Z,56626
2015-01-07T06:00:00Z,63293
2015-01-07T07:00:00Z,65964
2015-01-07T08:00:00Z,66400
2015-01-07T09:00:00Z,67746
2015-01-07T10:00:00Z,68507
2015-01-07T11:00:00Z,68100
2015-01-07T12:00:00Z,67248
2015-01-07T13:00:00Z,66044
2015-01-07T14:00:00Z,65496
2015-01-07T15:00:00Z,66191
2015-01-07T16:00:00Z,69647
2015-01-07T17:00:00Z,69425
2015-01-07T18:00:00Z,67467
2015-01-07T19:00:00Z,63605
2015-01-07T20:00:00Z,60469
2015-01-07T21:00:00Z,58348
2015-01-07T22:00:00Z,54070
2015-01-07T23:00:00Z,50460
2015-01-08T00:00:00Z,48041
2015-01-08T01:00:00Z,47074
2015-01-08T02:00:00Z,47228
2015-01-08T03:00:00Z,48253
2015-01-08T04:00:00Z,51155
2015-01-08T05:00:00Z,58605
2015-01-08T06:00:00Z,65447
2015-01-08T07:00:00Z,68569
2015-01-08T08:00:00Z,68599
2015-01-08T09:00:00Z,69484
2015-01-08T10:00:00Z,70635
2015-01-08T11:00:00Z,69962
2015-01-08T12:00:00Z,69062
2015-01-08T13:00:00Z,67835
2015-01-08T14:00:00Z,67765
2015-01-08T15:00:00Z,68183
2015-01-08T16:00:00Z,70139
2015-01-08T17:00:00Z,69246
2015-01-08T18:00:00Z,67516
2015-01-08T19:00:00Z,62992
2015-01-08T20:00:00Z,59524
2015-01-08T21:00:00Z,57518
2015-01-08T22:00:00Z,53026
2015-01-08T23:00:00Z,48517
2015-01-09T00:00:00Z,46472
2015-01-09T01:00:00Z,45546
2015-01-09T02:00:00Z,45568
2015-01-09T03:00:00Z,46950
2015-01-09T04:00:00Z,50426
2015-01-09T05:00:00Z,58351
2015-01-09T06:00:00Z,65555
2015-01-09T07:00:00Z,69326
2015-01-09T08:00:00Z,69495
2015-01-09T09:00:00Z,70357
2015-01-09T10:00:00Z,70829
2015-01-09T11:00:00Z,69565
2015-01-09T12:00:00Z,68267
2015-01-09T13:00:00Z,66887
2015-01-09T14:00:00Z,66518
2015-01-09T15:00:00Z,67566
2015-01-09T16:00:00Z,70120
2015-01-09T17:00:00Z,69465
2015-01-09T18:00:00Z,66230
2015-01-09T19:00:00Z,61923
2015-01-09T20:00:00Z,58868
2015-01-09T21:00:00Z,55441
2015-01-09T22:00:00Z,51740
2015-01-09T23:00:00Z,47944
2015-01-10T00:00:00Z,45889
2015-01-10T01:00:00Z,44455
2015-01-10T02:00:00Z,43933
2015-01-10T03:00:00Z,43836
2015-01-10T04:00:00Z,43841
2015-01-10T05:00:00Z,44671
2015-01-10T06:00:00Z,48011
2015-01-10T07:00:00Z,52333
2015-01-10T08:00:00Z,55587
2015-01-10T09:00:00Z,57068
2015-01-10T10:00:00Z,58679
2015-01-10T11:00:00Z,59031
2015-01-10T12:00:00Z,57469
2015-01-10T13:00:00Z,55753
2015-01-10T14:00:00Z,54425
2015-01-10T15:00:00Z,55698
2015-01-10T16:00:00Z,59546
2015-01-10T17:00:00Z,59665
2015-01-10T18:00:00Z,57456
2015-01-10T19:00:00Z,53439
2015-01-10T20:00:00Z,51071
2015-01-10T21:00:00Z,50351
2015-01-10T22:00:00Z,47188
2015-01-10T23:00:00Z,43422
2015-01-11T00:00:00Z,41048
2015-01-11T01:00:00Z,39718
2015-01-11T02:00:00Z,39187
2015-01-11T03:00:00Z,39643
2015-01-11T04:00:00Z,39494
2015-01-11T05:00:00Z,38786
2015-01-11T06:00:00Z,40821
2015-01-11T07:00:00Z,44081
2015-01-11T08:00:00Z,47653
2015-01-11T09:00:00Z,51246
2015-01-11T10:00:00Z,54420
