utc_timestamp,FR_load_actual_entsoe_transparency
2014-12-31T23:00:00Z,
2015-01-01T00:00:00Z,
2015-01-01T01:00:00Z,69773
2015-01-01T02:00:00Z,66417
2015-01-01T03:00:00Z,64182
2015-01-01T04:00:00Z,63859
2015-01-01T05:00:00Z,63921
2015-01-01T06:00:00Z,64117
2015-01-01T07:00:00Z,63861
2015-01-01T08:00:00Z,64277
2015-01-01T09:00:00Z,65100
2015-01-01T10:00:00Z,65875
2015-01-01T11:00:00Z,67460
2015-01-01T12:00:00Z,65706
2015-01-01T13:00:00Z,62688
2015-01-01T14:00:00Z,60798
2015-01-01T15:00:00Z,61111
2015-01-01T16:00:00Z,65620
2015-01-01T17:00:00Z,69967
2015-01-01T18:00:00Z,71682
2015-01-01T19:00:00Z,70462
2015-01-01T20:00:00Z,68173
2015-01-01T21:00:00Z,69188
2015-01-01T22:00:00Z,70135
2015-01-01T23:00:00Z,67584
2015-01-02T00:00:00Z,65510
2015-01-02T01:00:00Z,64522
2015-01-02T02:00:00Z,61798
2015-01-02T03:00:00Z,60686
2015-01-02T04:00:00Z,62060
2015-01-02T05:00:00Z,64662
2015-01-02T06:00:00Z,66982
2015-01-02T07:00:00Z,68828
2015-01-02T08:00:00Z,70472
2015-01-02T09:00:00Z,71681
2015-01-02T10:00:00Z,72248
2015-01-02T11:00:00Z,73443
2015-01-02T12:00:00Z,71451
2015-01-02T13:00:00Z,69123
2015-01-02T14:00:00Z,66628
2015-01-02T15:00:00Z,66234
2015-01-02T16:00:00Z,69985
2015-01-02T17:00:00Z,73818
2015-01-02T18:00:00Z,73971
2015-01-02T19:00:00Z,70938
2015-01-02T20:00:00Z,67746
2015-01-02T21:00:00Z,68455
2015-01-02T22:00:00Z,69539
2015-01-02T23:00:00Z,66642
2015-01-03T00:00:00Z,64227
2015-01-03T01:00:00Z,62716
2015-01-03T02:00:00Z,59396
2015-01-03T03:00:00Z,57700
2015-01-03T04:00:00Z,58131
2015-01-03T05:00:00Z,59493
2015-01-03T06:00:00Z,60986
2015-01-03T07:00:00Z,62703
2015-01-03T08:00:00Z,64814
2015-01-03T09:00:00Z,66427
2015-01-03T10:00:00Z,67027
2015-01-03T11:00:00Z,68498
2015-01-03T12:00:00Z,66851
2015-01-03T13:00:00Z,64325
2015-01-03T14:00:00Z,61852
2015-01-03T15:00:00Z,60906
2015-01-03T16:00:00Z,63367
2015-01-03T17:00:00Z,66458
2015-01-03T18:00:00Z,66400
2015-01-03T19:00:00Z,63519
2015-01-03T20:00:00Z,60554
2015-01-03T21:00:00Z,61320
2015-01-03T22:00:00Z,62725
2015-01-03T23:00:00Z,60265
2015-01-04T00:00:00Z,57658
2015-01-04T01:00:00Z,55874
2015-01-04T02:00:00Z,52581
2015-01-04T03:00:00Z,50650
2015-01-04T04:00:00Z,50570
2015-01-04T05:00:00Z,51566
2015-01-04T06:00:00Z,52564
2015-01-04T07:00:00Z,53872
2015-01-04T08:00:00Z,56101
2015-01-04T09:00:00Z,58463
2015-01-04T10:00:00Z,60123
2015-01-04T11:00:00Z,62579
2015-01-04T12:00:00Z,60885
2015-01-04T13:00:00Z,58183
2015-01-04T14:00:00Z,56109
2015-01-04T15:00:00Z,55809
2015-01-04T16:00:00Z,59859
2015-01-04T17:00:00Z,65218
2015-01-04T18:00:00Z,66941
2015-01-04T19:00:00Z,65231
2015-01-04T20:00:00Z,62623
2015-01-04T21:00:00Z,63366
2015-01-04T22:00:00Z,64730
2015-01-04T23:00:00Z,62610
2015-01-05T00:00:00Z,61092
2015-01-05T01:00:00Z,60219
2015-01-05T02:00:00Z,57535
2015-01-05T03:00:00Z,56891
2015-01-05T04:00:00Z,59823
2015-01-05T05:00:00Z,66249
2015-01-05T06:00:00Z,73308
2015-01-05T07:00:00Z,76107
2015-01-05T08:00:00Z,76452
2015-01-05T09:00:00Z,76494
2015-01-05T10:00:00Z,76683
2015-01-05T11:00:00Z,76812
2015-01-05T12:00:00Z,75421
2015-01-05T13:00:00Z,73763
2015-01-05T14:00:00Z,71536
2015-01-05T15:00:00Z,71665
2015-01-05T16:00:00Z,75440
2015-01-05T17:00:00Z,79847
2015-01-05T18:00:00Z,80090
2015-01-05T19:00:00Z,76262
2015-01-05T20:00:00Z,71858
2015-01-05T21:00:00Z,71997
2015-01-05T22:00:00Z,72673
2015-01-05T23:00:00Z,69935
2015-01-06T00:00:00Z,67795
2015-01-06T01:00:00Z,66811
2015-01-06T02:00:00Z,64040
2015-01-06T03:00:00Z,63275
2015-01-06T04:00:00Z,65977
2015-01-06T05:00:00Z,72092
2015-01-06T06:00:00Z,78888
2015-01-06T07:00:00Z,81429
2015-01-06T08:00:00Z,81438
2015-01-06T09:00:00Z,81086
2015-01-06T10:00:00Z,81166
2015-01-06T11:00:00Z,80973
2015-01-06T12:00:00Z,79304
2015-01-06T13:00:00Z,77662
2015-01-06T14:00:00Z,75285
2015-01-06T15:00:00Z,75028
2015-01-06T16:00:00Z,78196
2015-01-06T17:00:00Z,81983
2015-01-06T18:00:00Z,81712
2015-01-06T19:00:00Z,77245
2015-01-06T20:00:00Z,72532
2015-01-06T21:00:00Z,72243
2015-01-06T22:00:00Z,72686
2015-01-06T23:00:00Z,69988
2015-01-07T00:00:00Z,67621
2015-01-07T01:00:00Z,66393
2015-01-07T02:00:00Z,63640
2015-01-07T03:00:00Z,62955
2015-01-07T04:00:00Z,65636
2015-01-07T05:00:00Z,71516
2015-01-07T06:00:00Z,78168
2015-01-07T07:00:00Z,80971
2015-01-07T08:00:00Z,80546
2015-01-07T09:00:00Z,79801
2015-01-07T10:00:00Z,79494
2015-01-07T11:00:00Z,79036
2015-01-07T12:00:00Z,77255
2015-01-07T13:00:00Z,75421
2015-01-07T14:00:00Z,73262
2015-01-07T15:00:00Z,72881
2015-01-07T16:00:00Z,75844
2015-01-07T17:00:00Z,79935
2015-01-07T18:00:00Z,79786
2015-01-07T19:00:00Z,75418
2015-01-07T20:00:00Z,71486
2015-01-07T21:00:00Z,70933
2015-01-07T22:00:00Z,71301
2015-01-07T23:00:00Z,68372
2015-01-08T00:00:00Z,65948
2015-01-08T01:00:00Z,64676
2015-01-08T02:00:00Z,61551
2015-01-08T03:00:00Z,60541
2015-01-08T04:00:00Z,62833
2015-01-08T05:00:00Z,68782
2015-01-08T06:00:00Z,75066
2015-01-08T07:00:00Z,76918
2015-01-08T08:00:00Z,76633
2015-01-08T09:00:00Z,76121
2015-01-08T10:00:00Z,75885
2015-01-08T11:00:00Z,75521
2015-01-08T12:00:00Z,74111
2015-01-08T13:00:00Z,72261
2015-01-08T14:00:00Z,69961
2015-01-08T15:00:00Z,69326
2015-01-08T16:00:00Z,72487
2015-01-08T17:00:00Z,76456
2015-01-08T18:00:00Z,76130
2015-01-08T19:00:00Z,72022
2015-01-08T20:00:00Z,68102
2015-01-08T21:00:00Z,67739
