utc_timestamp,IT_load_actual_entsoe_transparency
2014-12-31T23:00:00Z,
2015-01-01T00:00:00Z,
2015-01-01T01:00:00Z,21534
2015-01-01T02:00:00Z,20219
2015-01-01T03:00:00Z,19470
2015-01-01T04:00:00Z,19485
2015-01-01T05:00:00Z,20349
2015-01-01T06:00:00Z,20715
2015-01-01T07:00:00Z,21092
2015-01-01T08:00:00Z,22776
2015-01-01T09:00:00Z,24243
2015-01-01T10:00:00Z,25601
2015-01-01T11:00:00Z,25790
2015-01-01T12:00:00Z,24249
2015-01-01T13:00:00Z,23416
2015-01-01T14:00:00Z,23716
2015-01-01T15:00:00Z,25405
2015-01-01T16:00:00Z,29787
2015-01-01T17:00:00Z,30946
2015-01-01T18:00:00Z,31359
2015-01-01T19:00:00Z,30611
2015-01-01T20:00:00Z,29168
2015-01-01T21:00:00Z,26859
2015-01-01T22:00:00Z,24116
2015-01-01T23:00:00Z,21568
2015-01-02T00:00:00Z,19764
2015-01-02T01:00:00Z,18755
2015-01-02T02:00:00Z,18412
2015-01-02T03:00:00Z,18558
2015-01-02T04:00:00Z,19810
2015-01-02T05:00:00Z,22878
2015-01-02T06:00:00Z,26190
2015-01-02T07:00:00Z,29053
2015-01-02T08:00:00Z,31535
2015-01-02T09:00:00Z,31804
2015-01-02T10:00:00Z,31496
2015-01-02T11:00:00Z,30827
2015-01-02T12:00:00Z,29624
2015-01-02T13:00:00Z,30125
2015-01-02T14:00:00Z,31251
2015-01-02T15:00:00Z,33396
2015-01-02T16:00:00Z,38291
2015-01-02T17:00:00Z,38662
2015-01-02T18:00:00Z,38219
2015-01-02T19:00:00Z,35572
2015-01-02T20:00:00Z,32695
2015-01-02T21:00:00Z,29068
2015-01-02T22:00:00Z,25909
2015-01-02T23:00:00Z,22906
2015-01-03T00:00:00Z,20851
2015-01-03T01:00:00Z,19712
2015-01-03T02:00:00Z,19264
2015-01-03T03:00:00Z,19298
2015-01-03T04:00:00Z,20192
2015-01-03T05:00:00Z,22529
2015-01-03T06:00:00Z,25195
2015-01-03T07:00:00Z,27383
2015-01-03T08:00:00Z,29452
2015-01-03T09:00:00Z,29664
2015-01-03T10:00:00Z,28845
2015-01-03T11:00:00Z,27936
2015-01-03T12:00:00Z,27154
2015-01-03T13:00:00Z,27167
2015-01-03T14:00:00Z,28009
2015-01-03T15:00:00Z,30099
2015-01-03T16:00:00Z,34795
2015-01-03T17:00:00Z,35872
2015-01-03T18:00:00Z,35893
2015-01-03T19:00:00Z,33609
2015-01-03T20:00:00Z,30837
2015-01-03T21:00:00Z,27974
2015-01-03T22:00:00Z,25217
2015-01-03T23:00:00Z,22558
2015-01-04T00:00:00Z,20602
2015-01-04T01:00:00Z,19449
2015-01-04T02:00:00Z,18871
2015-01-04T03:00:00Z,18726
2015-01-04T04:00:00Z,19122
2015-01-04T05:00:00Z,20289
2015-01-04T06:00:00Z,21600
2015-01-04T07:00:00Z,23049
2015-01-04T08:00:00Z,25376
2015-01-04T09:00:00Z,26859
2015-01-04T10:00:00Z,27740
2015-01-04T11:00:00Z,27326
2015-01-04T12:00:00Z,26018
2015-01-04T13:00:00Z,25049
2015-01-04T14:00:00Z,24868
2015-01-04T15:00:00Z,25826
2015-01-04T16:00:00Z,30053
2015-01-04T17:00:00Z,31608
2015-01-04T18:00:00Z,32356
2015-01-04T19:00:00Z,31312
2015-01-04T20:00:00Z,29367
2015-01-04T21:00:00Z,27050
2015-01-04T22:00:00Z,24216
2015-01-04T23:00:00Z,21778
2015-01-05T00:00:00Z,19993
2015-01-05T01:00:00Z,19020
2015-01-05T02:00:00Z,18676
2015-01-05T03:00:00Z,18880
2015-01-05T04:00:00Z,20107
2015-01-05T05:00:00Z,23220
2015-01-05T06:00:00Z,26785
2015-01-05T07:00:00Z,30021
2015-01-05T08:00:00Z,32544
2015-01-05T09:00:00Z,33622
2015-01-05T10:00:00Z,33846
2015-01-05T11:00:00Z,32785
2015-01-05T12:00:00Z,31687
2015-01-05T13:00:00Z,30923
2015-01-05T14:00:00Z,31133
2015-01-05T15:00:00Z,32364
2015-01-05T16:00:00Z,36615
2015-01-05T17:00:00Z,37545
2015-01-05T18:00:00Z,37107
2015-01-05T19:00:00Z,34946
2015-01-05T20:00:00Z,32272
2015-01-05T21:00:00Z,29057
2015-01-05T22:00:00Z,25962
2015-01-05T23:00:00Z,23214
2015-01-06T00:00:00Z,21259
2015-01-06T01:00:00Z,20186
2015-01-06T02:00:00Z,19612
2015-01-06T03:00:00Z,19599
2015-01-06T04:00:00Z,20115
2015-01-06T05:00:00Z,21654
2015-01-06T06:00:00Z,23099
2015-01-06T07:00:00Z,24579
2015-01-06T08:00:00Z,26930
2015-01-06T09:00:00Z,28752
2015-01-06T10:00:00Z,30062
2015-01-06T11:00:00Z,29464
2015-01-06T12:00:00Z,27375
2015-01-06T13:00:00Z,26138
2015-01-06T14:00:00Z,26166
2015-01-06T15:00:00Z,27222
2015-01-06T16:00:00Z,31679
2015-01-06T17:00:00Z,33459
2015-01-06T18:00:00Z,33678
2015-01-06T19:00:00Z,32689
2015-01-06T20:00:00Z,30770
2015-01-06T21:00:00Z,28087
2015-01-06T22:00:00Z,24915
2015-01-06T23:00:00Z,22270
2015-01-07T00:00:00Z,20523
2015-01-07T01:00:00Z,19664
2015-01-07T02:00:00Z,19541
2015-01-07T03:00:00Z,19965
2015-01-07T04:00:00Z,21832
2015-01-07T05:00:00Z,27800
2015-01-07T06:00:00Z,34532
2015-01-07T07:00:00Z,39273
2015-01-07T08:00:00Z,42099
2015-01-07T09:00:00Z,42423
2015-01-07T10:00:00Z,42205
2015-01-07T11:00:00Z,39772
2015-01-07T12:00:00Z,39334
2015-01-07T13:00:00Z,40422
2015-01-07T14:00:00Z,41181
2015-01-07T15:00:00Z,42503
2015-01-07T16:00:00Z,45265
2015-01-07T17:00:00Z,44376
2015-01-07T18:00:00Z,43008
2015-01-07T19:00:00Z,40339
2015-01-07T20:00:00Z,37168
2015-01-07T21:00:00Z,32964
2015-01-07T22:00:00Z,29282
2015-01-07T23:00:00Z,26120
2015-01-08T00:00:00Z,24256
2015-01-08T01:00:00Z,23337
2015-01-08T02:00:00Z,23058
2015-01-08T03:00:00Z,23350
2015-01-08T04:00:00Z,24947
2015-01-08T05:00:00Z,30185
2015-01-08T06:00:00Z,37189
2015-01-08T07:00:00Z,41485
2015-01-08T08:00:00Z,43419
2015-01-08T09:00:00Z,43305
2015-01-08T10:00:00Z,42733
2015-01-08T11:00:00Z,40289
2015-01-08T12:00:00Z,40382
2015-01-08T13:00:00Z,41135
2015-01-08T14:00:00Z,41376
2015-01-08T15:00:00Z,42484
2015-01-08T16:00:00Z,45179
2015-01-08T17:00:00Z,44598
2015-01-08T18:00:00Z,43351
2015-01-08T19:00:00Z,40504
2015-01-08T20:00:00Z,37331
2015-01-08T21:00:00Z,33141
