utc_timestamp,DE_temperature,DE_radiation_direct_horizontal,DE_radiation_diffuse_horizontal
2014-01-01T00:00:00Z,-0.568,0,0
2014-01-01T01:00:00Z,-0.509,0,0
2014-01-01T02:00:00Z,-0.436,0,0
2014-01-01T03:00:00Z,-0.257,0,0
2014-01-01T04:00:00Z,-0.082,0,0
2014-01-01T05:00:00Z,-0.003,0,0
2014-01-01T06:00:00Z,0.096,0,0
2014-01-01T07:00:00Z,0.287,0.3239,6.2531
2014-01-01T08:00:00Z,1.204,5.2358,47.1536
2014-01-01T09:00:00Z,2.328,19.2939,93.1495
2014-01-01T10:00:00Z,3.443,45.0554,122.0608
2014-01-01T11:00:00Z,4.424,66.3742,126.6603
2014-01-01T12:00:00Z,4.916,61.2468,115.0474
2014-01-01T13:00:00Z,4.681,33.1142,87.8573
2014-01-01T14:00:00Z,3.452,8.1016,40.8228
2014-01-01T15:00:00Z,2.212,0.2006,2.3686
2014-01-01T16:00:00Z,2.024,0,0
2014-01-01T17:00:00Z,1.966,0,0
2014-01-01T18:00:00Z,1.918,0,0
2014-01-01T19:00:00Z,1.866,0,0
2014-01-01T20:00:00Z,1.856,0,0
2014-01-01T21:00:00Z,1.881,0,0
2014-01-01T22:00:00Z,1.914,0,0
2014-01-01T23:00:00Z,1.974,0,0
2014-01-02T00:00:00Z,2.069,0,0
2014-01-02T01:00:00Z,2.187,0,0
2014-01-02T02:00:00Z,2.325,0,0
2014-01-02T03:00:00Z,2.52,0,0
2014-01-02T04:00:00Z,2.734,0,0
2014-01-02T05:00:00Z,2.867,0,0
2014-01-02T06:00:00Z,2.92,0,0
2014-01-02T07:00:00Z,3.036,0.0634,3.6248
2014-01-02T08:00:00Z,3.51,0.6653,26.7281
2014-01-02T09:00:00Z,4.215,1.9927,57.1946
2014-01-02T10:00:00Z,4.929,4.3847,86.6408
2014-01-02T11:00:00Z,5.538,7.5104,105.5447
2014-01-02T12:00:00Z,5.853,7.2279,97.1137
2014-01-02T13:00:00Z,5.842,4.7501,70.6688
2014-01-02T14:00:00Z,5.415,1.4015,29.8214
2014-01-02T15:00:00Z,4.784,0.0514,1.7467
2014-01-02T16:00:00Z,4.529,0,0
2014-01-02T17:00:00Z,4.359,0,0
