utc_timestamp,FR_temperature,FR_radiation_direct_horizontal,FR_radiation_diffuse_horizontal
2014-01-01T00:00:00Z,4.994,0,0
2014-01-01T01:00:00Z,4.953,0,0
2014-01-01T02:00:00Z,4.885,0,0
2014-01-01T03:00:00Z,4.741,0,0
2014-01-01T04:00:00Z,4.521,0,0
2014-01-01T05:00:00Z,4.485,0,0
2014-01-01T06:00:00Z,4.518,0.0001,0.0011
2014-01-01T07:00:00Z,4.637,0.2909,4.6434
2014-01-01T08:00:00Z,5.399,2.663,40.2126
2014-01-01T09:00:00Z,6.356,6.8147,85.0511
2014-01-01T10:00:00Z,7.294,11.535,120.7561
2014-01-01T11:00:00Z,8.075,13.1703,135.6563
2014-01-01T12:00:00Z,8.629,11.3664,129.4443
2014-01-01T13:00:00Z,8.887,6.4097,99.0871
2014-01-01T14:00:00Z,8.714,2.2537,55.1887
2014-01-01T15:00:00Z,8.201,0.3705,15.1381
2014-01-01T16:00:00Z,7.843,0.0031,0.217
2014-01-01T17:00:00Z,7.812,0,0
2014-01-01T18:00:00Z,7.844,0,0
2014-01-01T19:00:00Z,7.901,0,0
2014-01-01T20:00:00Z,7.965,0,0
2014-01-01T21:00:00Z,8.068,0,0
2014-01-01T22:00:00Z,8.163,0,0
2014-01-01T23:00:00Z,8.232,0,0
2014-01-02T00:00:00Z,8.278,0,0
2014-01-02T01:00:00Z,8.277,0,0
2014-01-02T02:00:00Z,8.173,0,0
2014-01-02T03:00:00Z,8.011,0,0
2014-01-02T04:00:00Z,7.892,0,0
2014-01-02T05:00:00Z,7.809,0,0
2014-01-02T06:00:00Z,7.632,0,0.0005
2014-01-02T07:00:00Z,7.39,0.0879,2.9094
2014-01-02T08:00:00Z,7.588,2.6022,38.682
2014-01-02T09:00:00Z,8.33,12.6671,94.5971
2014-01-02T10:00:00Z,9.129,27.32,136.0005
2014-01-02T11:00:00Z,9.778,40.0203,155.9796
2014-01-02T12:00:00Z,10.197,49.7222,154.5453
2014-01-02T13:00:00Z,10.349,54.8591,132.4561
2014-01-02T14:00:00Z,9.982,31.5707,91.2951
2014-01-02T15:00:00Z,8.578,5.4847,32.2847
2014-01-02T16:00:00Z,7.206,0.0357,0.6084
2014-01-02T17:00:00Z,6.959,0,0
2014-01-02T18:00:00Z,6.66,0,0
2014-01-02T19:00:00Z,6.405,0,0
2014-01-02T20:00:00Z,6.418,0,0
2014-01-02T21:00:00Z,6.499,0,0
2014-01-02T22:00:00Z,6.62,0,0
2014-01-02T23:00:00Z,6.783,0,0
2014-01-03T00:00:00Z,6.922,0,0
2014-01-03T01:00:00Z,7.083,0,0
2014-01-03T02:00:00Z,7.294,0,0
2014-01-03T03:00:00Z,7.57,0,0
2014-01-03T04:00:00Z,7.764,0,0
2014-01-03T05:00:00Z,7.915,0,0
2014-01-03T06:00:00Z,8.024,0.0001,0.0013
2014-01-03T07:00:00Z,8.077,0.0722,2.5789
2014-01-03T08:00:00Z,8.439,2.4188,37.875
2014-01-03T09:00:00Z,9.189,14.1981,96.5144
2014-01-03T10:00:00Z,10.063,36.639,139.5522
2014-01-03T11:00:00Z,10.938,70.1223,158.115
2014-01-03T12:00:00Z,11.508,76.9705,153.5286
2014-01-03T13:00:00Z,11.588,48.7856,132.0718
2014-01-03T14:00:00Z,11.161,21.3781,89.2868
2014-01-03T15:00:00Z,10.166,3.6616,30.1982
2014-01-03T16:00:00Z,9.072,0.0311,0.6061
2014-01-03T17:00:00Z,8.508,0,0
2014-01-03T18:00:00Z,8.051,0,0
2014-01-03T19:00:00Z,7.644,0,0
2014-01-03T20:00:00Z,7.307,0,0
2014-01-03T21:00:00Z,7.007,0,0
2014-01-03T22:00:00Z,6.622,0,0
2014-01-03T23:00:00Z,6.495,0,0
2014-01-04T00:00:00Z,6.549,0,0
2014-01-04T01:00:00Z,6.59,0,0
2014-01-04T02:00:00Z,6.68,0,0
2014-01-04T03:00:00Z,6.784,0,0
2014-01-04T04:00:00Z,6.853,0,0
2014-01-04T05:00:00Z,6.922,0,0
2014-01-04T06:00:00Z,6.977,0,0.001
2014-01-04T07:00:00Z,7.066,0.0312,1.9689
2014-01-04T08:00:00Z,7.393,0.6993,26.636
2014-01-04T09:00:00Z,8.086,3.411,72.544
2014-01-04T10:00:00Z,8.838,7.8996,113.9135
2014-01-04T11:00:00Z,9.461,9.0176,127.1707
2014-01-04T12:00:00Z,9.8,8.6167,123.3125
2014-01-04T13:00:00Z,9.94,8.9979,112.3559
2014-01-04T14:00:00Z,9.609,3.8959,68.4461
2014-01-04T15:00:00Z,8.648,0.4872,17.8362
2014-01-04T16:00:00Z,7.996,0.0041,0.2854
2014-01-04T17:00:00Z,7.651,0,0
2014-01-04T18:00:00Z,7.232,0,0
2014-01-04T19:00:00Z,6.774,0,0
