utc_timestamp,IT_temperature,IT_radiation_direct_horizontal,IT_radiation_diffuse_horizontal
2014-01-01T00:00:00Z,3.501,0,0
2014-01-01T01:00:00Z,3.387,0,0
2014-01-01T02:00:00Z,3.256,0,0
2014-01-01T03:00:00Z,3.212,0,0
2014-01-01T04:00:00Z,3.193,0,0
2014-01-01T05:00:00Z,3.168,0,0
2014-01-01T06:00:00Z,3.198,0.283,3.3916
2014-01-01T07:00:00Z,3.957,13.2329,49.0593
2014-01-01T08:00:00Z,5.626,73.6718,100.8848
2014-01-01T09:00:00Z,7.108,163.1851,117.0197
2014-01-01T10:00:00Z,8.326,225.4444,119.4277
2014-01-01T11:00:00Z,9.129,239.1806,118.3517
2014-01-01T12:00:00Z,9.444,207.8758,112.3451
2014-01-01T13:00:00Z,9.295,136.9706,99.9116
2014-01-01T14:00:00Z,8.342,48.7465,71.3912
2014-01-01T15:00:00Z,6.673,2.8663,14.1415
2014-01-01T16:00:00Z,5.757,0,0.0007
2014-01-01T17:00:00Z,5.208,0,0
2014-01-01T18:00:00Z,4.792,0,0
2014-01-01T19:00:00Z,4.455,0,0
2014-01-01T20:00:00Z,4.157,0,0
2014-01-01T21:00:00Z,4.005,0,0
2014-01-01T22:00:00Z,3.941,0,0
2014-01-01T23:00:00Z,3.874,0,0
2014-01-02T00:00:00Z,3.804,0,0
2014-01-02T01:00:00Z,3.765,0,0
2014-01-02T02:00:00Z,3.739,0,0
2014-01-02T03:00:00Z,3.718,0,0
2014-01-02T04:00:00Z,3.715,0,0
2014-01-02T05:00:00Z,3.721,0,0
2014-01-02T06:00:00Z,3.792,0.4344,4.407
2014-01-02T07:00:00Z,4.59,6.4984,47.5958
2014-01-02T08:00:00Z,5.849,21.2907,109.5374
2014-01-02T09:00:00Z,6.847,36.2753,155.8751
2014-01-02T10:00:00Z,7.582,46.9669,183.0307
2014-01-02T11:00:00Z,8.047,45.9687,186.9469
2014-01-02T12:00:00Z,8.238,34.0901,166.568
2014-01-02T13:00:00Z,8.151,19.4645,125.1467
2014-01-02T14:00:00Z,7.647,6.1708,65.1875
2014-01-02T15:00:00Z,6.592,0.4735,9.8964
2014-01-02T16:00:00Z,6.192,0,0.0008
2014-01-02T17:00:00Z,6.049,0,0
2014-01-02T18:00:00Z,5.933,0,0
2014-01-02T19:00:00Z,5.882,0,0
2014-01-02T20:00:00Z,5.809,0,0
2014-01-02T21:00:00Z,5.736,0,0
2014-01-02T22:00:00Z,5.608,0,0
2014-01-02T23:00:00Z,5.482,0,0
2014-01-03T00:00:00Z,5.38,0,0
2014-01-03T01:00:00Z,5.333,0,0
2014-01-03T02:00:00Z,5.252,0,0
2014-01-03T03:00:00Z,5.24,0,0
2014-01-03T04:00:00Z,5.3,0,0
2014-01-03T05:00:00Z,5.294,0,0
2014-01-03T06:00:00Z,5.32,0.4435,4.4231
2014-01-03T07:00:00Z,6.067,7.3105,48.2311
2014-01-03T08:00:00Z,7.479,28.8049,112.1973
2014-01-03T09:00:00Z,8.623,54.3326,158.1779
2014-01-03T10:00:00Z,9.474,71.2326,183.7193
2014-01-03T11:00:00Z,9.965,67.4426,188.2135
2014-01-03T12:00:00Z,10.102,49.26,170.0008
2014-01-03T13:00:00Z,9.952,30.237,131.5091
2014-01-03T14:00:00Z,9.369,10.1746,71.712
2014-01-03T15:00:00Z,8.184,0.8841,11.9957
2014-01-03T16:00:00Z,7.543,0,0.0012
2014-01-03T17:00:00Z,7.26,0,0
2014-01-03T18:00:00Z,7.061,0,0
2014-01-03T19:00:00Z,6.898,0,0
2014-01-03T20:00:00Z,6.771,0,0
2014-01-03T21:00:00Z,6.662,0,0
2014-01-03T22:00:00Z,6.555,0,0
2014-01-03T23:00:00Z,6.559,0,0
2014-01-04T00:00:00Z,6.565,0,0
2014-01-04T01:00:00Z,6.527,0,0
2014-01-04T02:00:00Z,6.445,0,0
2014-01-04T03:00:00Z,6.377,0,0
2014-01-04T04:00:00Z,6.372,0,0
2014-01-04T05:00:00Z,6.387,0,0
2014-01-04T06:00:00Z,6.468,0.5347,5.0941
2014-01-04T07:00:00Z,7.172,3.5396,43.142
2014-01-04T08:00:00Z,8.066,8.4029,94.6363
2014-01-04T09:00:00Z,8.848,15.228,140.5615
2014-01-04T10:00:00Z,9.344,19.103,165.6582
2014-01-04T11:00:00Z,9.677,18.9016,168.6409
2014-01-04T12:00:00Z,9.865,14.9675,149.1981
2014-01-04T13:00:00Z,9.869,9.1769,110.9501
2014-01-04T14:00:00Z,9.548,3.1472,56.6511
2014-01-04T15:00:00Z,8.845,0.2991,9.0932
2014-01-04T16:00:00Z,8.516,0,0.0007
2014-01-04T17:00:00Z,8.52,0,0
2014-01-04T18:00:00Z,8.581,0,0
2014-01-04T19:00:00Z,8.664,0,0
2014-01-04T20:00:00Z,8.714,0,0
2014-01-04T21:00:00Z,8.752,0,0
2014-01-04T22:00:00Z,8.711,0,0
2014-01-04T23:00:00Z,8.645,0,0
2014-01-05T00:00:00Z,8.606,0,0
2014-01-05T01:00:00Z,8.549,0,0
2014-01-05T02:00:00Z,8.442,0,0
2014-01-05T03:00:00Z,8.436,0,0
2014-01-05T04:00:00Z,8.468,0,0
2014-01-05T05:00:00Z,8.485,0,0
2014-01-05T06:00:00Z,8.536,0.0676,2.6997
2014-01-05T07:00:00Z,8.807,0.6612,25.4598
2014-01-05T08:00:00Z,9.256,2.1146,63.9348
2014-01-05T09:00:00Z,9.639,4.1301,100.3922
2014-01-05T10:00:00Z,9.807,6.2538,126.8321
2014-01-05T11:00:00Z,9.866,9.0701,144.5386
2014-01-05T12:00:00Z,9.753,11.0284,142.7682
2014-01-05T13:00:00Z,9.435,9.1175,113.7826
2014-01-05T14:00:00Z,8.798,4.3755,64.2098
2014-01-05T15:00:00Z,7.659,0.5882,11.9127
2014-01-05T16:00:00Z,6.919,0.0001,0.0019
2014-01-05T17:00:00Z,6.538,0,0
2014-01-05T18:00:00Z,6.261,0,0
2014-01-05T19:00:00Z,6.011,0,0
2014-01-05T20:00:00Z,5.736,0,0
2014-01-05T21:00:00Z,5.539,0,0
2014-01-05T22:00:00Z,5.466,0,0
2014-01-05T23:00:00Z,5.421,0,0
2014-01-06T00:00:00Z,5.356,0,0
2014-01-06T01:00:00Z,5.3,0,0
2014-01-06T02:00:00Z,5.259,0,0
2014-01-06T03:00:00Z,5.162,0,0
2014-01-06T04:00:00Z,5.027,0,0
2014-01-06T05:00:00Z,4.949,0,0
